Postcode,Postcode78,Easting,Northing,OA,X,Y
BA1 1LZ,BA1 1LZ,375035,164737,E00072573,-2.36013013,51.38107663
BA1 1NA,BA1 1NA,375069,164784,E00072573,-2.359644983,51.38150071
BA1 1ND,BA1 1ND,375153,164678,E00072574,-2.358430538,51.38055129
BA1 1NE,BA1 1NE,375055,164802,E00072572,-2.359847418,51.38166189
BA1 1NF,BA1 1NF,375064,164806,E00072572,-2.359718328,51.38169834
BA1 1NG,BA1 1NG,375157,164732,E00072574,-2.358376871,51.38103697
BA1 1NH,BA1 1NH,375080,164693,E00072574,-2.359480411,51.38068292
BA1 1NJ,BA1 1NJ,375139,164740,E00072574,-2.358636057,51.38110818
BA1 1NL,BA1 1NL,375135,164697,E00072574,-2.358690493,51.38072129
BA1 1NN,BA1 1NN,375113,164697,E00072574,-2.359006573,51.38072033
BA1 1NP,BA1 1NP,375102,164646,E00072574,-2.359161024,51.38026131
BA1 1NQ,BA1 1NQ,375132,164708,E00072574,-2.35873439,51.38082013
BA1 1NR,BA1 1NR,375117,164694,E00072574,-2.358948904,51.38069353
BA1 1NS,BA1 1NS,375168,164659,E00072574,-2.358213588,51.38038107
BA1 1NT,BA1 1NT,375139,164740,E00072574,-2.358636057,51.38110818
BA1 1NW,BA1 1NW,375131,164647,E00072574,-2.358744437,51.38027157
BA1 1NX,BA1 1NX,375144,164695,E00072574,-2.358560983,51.38070371
BA1 1NY,BA1 1NY,375252,164679,E00072575,-2.357008016,51.38056462
BA1 1PE,BA1 1PE,375235,164469,E00072575,-2.357237602,51.37867563
BA1 1PF,BA1 1PF,375224,164467,E00072575,-2.357395495,51.37865717
BA1 1PQ,BA1 1PQ,375232,164512,E00072575,-2.357283734,51.37906212
BA1 1PS,BA1 1PS,375174,164561,E00072575,-2.358120584,51.37950022
BA1 1PX,BA1 1PX,375276,164449,E00072575,-2.356647194,51.37849755
BA1 1QB,BA1 1QB,375094,164615,E00072574,-2.359273758,51.3799822
BA1 1QE,BA1 1QE,375057,164666,E00072574,-2.359809042,51.3804392
